,Year,Coal Prod,Gas Prod,Oil Prod
349,2059,22.983353744465333,8.980184596373899,2.2626850018747366
350,2060,23.22959063813211,9.14872556091762,2.197651908260056
351,2061,23.3667082615167,9.149960275570345,2.1167982991763155
352,2062,23.41380280708754,9.051752165092212,2.028425708318807
353,2063,23.38318702714367,8.951796365239495,1.9398784280864445
354,2064,23.320622037754642,8.877009425100344,1.852449156480972
355,2065,23.266851456495065,8.802804150981405,1.7749839945047219
356,2066,23.32667254104725,8.708335924807953,1.717493721140763
357,2067,23.417088077240585,8.623852349433774,1.6697240958248025
358,2068,23.585870266768723,8.513150700404886,1.6383253299970855
359,2069,23.822737374716752,8.388330391779846,1.6172514668029063
360,2070,24.02484493842372,8.246583598761617,1.5997321784289025
361,2071,24.219902228837874,8.101751917912072,1.58710243787324
362,2072,24.42189176698994,7.971389565645849,1.570693951390585
363,2073,24.547659631918446,7.921949268252162,1.5571352643771654
364,2074,24.631664926781536,7.897360413405832,1.5487020820101063
365,2075,24.669665545626962,7.8086442417224475,1.5502761164439822
366,2076,24.648216853065332,7.84919885447032,1.5574284297615983
367,2077,24.668118499802592,7.736708474470561,1.5697824859509313
368,2078,24.715753744883447,7.564868971558518,1.587718406912275
369,2079,24.824184431538004,7.442536007139818,1.6084377202953961
370,2080,24.980187620191796,7.315978945129632,1.633007048344508
371,2081,25.116594190244943,7.16917537567051,1.657419168022155
372,2082,25.261067085631392,7.0508451327694805,1.6830247101954614
373,2083,25.334168653984516,6.931109031517316,1.7117361668704314
374,2084,25.300361166101467,6.815367155212727,1.7459523046797483
375,2085,25.23421828852676,6.698250439386492,1.792575469246613
376,2086,25.06157926473538,6.578066040612865,1.8506850225344245
377,2087,24.82993391860865,6.449995813669547,1.9183771182007197
378,2088,24.588167945358148,6.3112063259525,1.9949820353154184
379,2089,24.34160520401031,6.156439251325476,2.074462209483967
380,2090,24.122097361883352,6.016752132510713,2.1493673903871864
381,2091,23.923485368729715,6.005766424169121,2.2138839745066017
382,2092,23.72504309569744,5.899599579787313,2.2616260818504816
383,2093,23.440240151509137,5.733938808442028,2.2917322870667594
384,2094,23.08153799193459,5.566750688929718,2.304023266621315
385,2095,22.62259824851715,5.412083945526879,2.321471033075038
386,2096,22.058551683632338,5.280825680335378,2.3548914324420216
387,2097,21.396208348990342,5.145348085896818,2.4062440924501765
388,2098,20.69568846271335,5.0160415395914,2.4769161077331456
389,2099,20.013924452405085,4.8833786212774495,2.545805076742242
390,2100,19.29108716835109,4.766130014203105,2.605512019265485
391,2101,18.62921834791065,4.640065410151796,2.6568505301031804
392,2102,17.970875179917396,4.5115293663112155,2.7011788650321344
393,2103,17.26333728417183,4.392099885129852,2.740710375034322
394,2104,16.522634553965144,4.271134365046863,2.774382219992037
